round,expr_str,ic_5,ic_60,ret_5,ret_60,fitness
21,"log(ts_min((ts_min((highaddts_max(abs((abs(log(high))mults_min(ts_corr(((ts_max((highdivvolume),20)subsign(neg(high)))subts_corr(low,ts_sum(ts_std(close,20),20),5)),(volumemulneg(close)),5),30))),10)),30)addts_min((abs(ts_corr(high,ts_mean(close,30),30))divabs(((closesubclose)subts_mean(low,20)))),30)),30))",-0.008975539196792481,-0.02967964898234503,0.1672315420920658,0.19122936855923944,0.13125959695482745
22,"(ts_mean(ts_min(neg(ts_max(ts_mean((highsub((abs((lowdivlow))mulabs(ts_min(high,10)))mults_max(((closedivclose)mul(openaddclose)),10))),60),60)),10),20)subsign(ts_corr(low,((lowmulopen)add(highsublow)),20)))",-0.00791287387415434,-0.027072498928594705,0.20424596732184463,0.20826392669907845,0.14962626882773541
23,"ts_min(ts_min(ts_min(ts_ema(ts_min(ts_min(ts_min(ts_sum(ts_max(((closesubts_min(ts_min(ts_ema(ts_min((ts_sum(ts_ema(high,20),30)sub(openadd(ts_std(volume,60)div(closedivhigh)))),10),10),60),60))sublog(volume)),20),60),60),60),10),10),60),60),60)",0.008740876415698425,0.025995974130584458,0.29372826527551354,0.30090642559065683,0.21333266938510206
24,"abs(ts_max(ts_min(((ts_max(ts_mean(ts_max(ts_min(((ts_max(ts_mean(((ts_max(ts_mean(ts_max(ts_min(((ts_max(ts_mean((ts_max(ts_mean(((ts_max(ts_mean(ts_max(ts_min((ts_max(ts_min(((ts_max(ts_mean(((ts_max(ts_mean(ts_max(ts_min(((ts_max(ts_mean((ts_max(ts_mean(((ts_max(ts_mean(ts_max(ts_min(((ts_max(ts_mean((lowmults_mean((lowmulclose),60)),60),30)sub(abs(ts_corr(ts_corr(ts_ema(ts_corr(low,ts_mean(neg(volume),60),20),60),(ts_corr(low,low,30)mulneg(low)),10),ts_ema((ts_sum(neg(high),30)addts_corr(ts_std((lowmults_mean((lowmulclose),60)),20),high,20)),30),30))divvolume))mulopen),5),60),60),30)sub(abs(ts_corr(ts_corr(ts_ema(ts_corr(ts_ema(sign(high),30),ts_mean((closesubts_std(neg((opensubopen)),60)),60),20),60),open,10),open,30))divvolume))mulopen),60),30)mults_mean((lowmulclose),60)),60),30)sub(abs(open)divvolume))mulopen),5),60),60),30)sub(abs(ts_corr(ts_corr(ts_ema(open,60),open,10),open,30))divvolume))mulopen),60),30)sub(abs(ts_corr(ts_corr(ts_ema(ts_corr(ts_ema(sign(high),30),ts_mean(neg(volume),60),20),60),(ts_corr(low,low,30)mulneg(low)),10),open,30))divvolume))mulopen),5),60)mulopen),5),60),60),30)sub(abs(ts_corr(ts_corr(ts_ema(ts_corr(ts_ema(sign(high),30),ts_mean(neg((lowmults_mean((lowmulclose),60))),60),20),60),open,10),open,30))divvolume))mulopen),60),30)mults_mean((lowmulclose),60)),60),30)sub(abs(open)divvolume))mulopen),5),60),60),30)sub(abs(ts_corr(ts_corr(ts_ema(open,60),open,10),open,30))divvolume))mulopen),60),30)sub(abs(ts_corr(ts_corr(ts_ema(ts_corr(ts_ema(sign(high),30),ts_mean(neg(volume),60),20),60),(ts_corr(low,low,30)mulneg(low)),10),open,30))divvolume))mulopen),5),60),60),30)sub(abs(ts_corr(ts_corr(ts_ema(ts_corr(ts_ema(sign(high),30),ts_mean(neg((lowmults_mean((lowmulclose),60))),60),20),60),open,10),open,30))divvolume))mulopen),5),60))",-0.007211589367335194,-0.02223116741943237,0.33373707957481225,0.32306130829562596,0.2342958492726685
25,"log(abs(ts_sum(ts_min(ts_sum((abs(ts_sum(ts_min(ts_ema((ts_corr(log(abs(ts_sum(abs(ts_sum(log(ts_corr(ts_std(ts_std(ts_corr(open,abs(low),20),5),5),ts_corr((lowaddts_std(open,20)),open,20),5)),60)),60))),ts_corr(volume,volume,5),10)subts_sum(ts_sum(open,60),60)),30),30),60))addts_ema(ts_mean(ts_ema((ts_corr(ts_ema(log(ts_sum(open,20)),10),ts_corr(volume,volume,5),10)subts_sum(ts_sum(ts_sum(ts_min(ts_sum((highaddts_ema(ts_mean(ts_ema((ts_corr(ts_ema(volume,10),ts_corr(volume,volume,5),10)subts_sum(ts_sum(open,60),60)),60),30),10)),5),30),60),60),60)),60),30),10)),5),30),60)))",-0.00847222668820925,-0.023345860829336377,0.30536728559181925,0.2834855736345214,0.21087121385685106
26,"ts_min(ts_min(ts_sum(ts_min(ts_sum(ts_mean(ts_min(ts_sum(ts_mean(ts_min(ts_sum((abs((ts_mean(ts_corr((log(volume)mults_ema(close,5)),volume,20),5)add(neg((log(ts_mean(ts_min(ts_sum(ts_min(ts_sum(ts_mean(ts_min(ts_sum(((ts_min(ts_sum(ts_mean(ts_min(ts_sum((ts_delta(low,10)addts_ema(high,60)),60),30),30),60),30)subopen)addts_ema(high,60)),60),30),30),60),30),60),30),30))divclose))divts_corr(ts_delta(low,30),ts_corr(high,close,5),60))))addts_mean(ts_sum(neg(close),60),5)),60),30),30),60),30),30),60),30),60),30),30)",0.009097046154398375,0.02721500153622923,0.32960019407686514,0.3398539976431061,0.23975577425558406
27,"ts_min((ts_min((log(abs((((volumeaddclose)divopen)mulclose)))mults_min(ts_min((openmults_min(ts_min((ts_min((ts_min(ts_ema(ts_mean((ts_sum(ts_min(low,30),60)subopen),5),10),60)mults_min(ts_ema(abs(open),10),60)),60)addopen),10),60)),60),60)),60)addopen),10)",-0.008866383931868662,-0.026519248582808356,0.3108115337016244,0.27835618704729836,0.2115165471393245
28,"ts_sum(ts_mean((ts_ema((ts_sum(ts_ema(ts_mean((ts_ema((ts_sum(ts_ema(ts_mean((ts_ema((ts_sum(ts_ema(ts_mean((ts_ema((ts_sum(ts_ema(open,10),60)subts_max((log(sign(close))subneg((lowmullow))),20)),60)subts_corr(open,ts_ema(ts_mean((ts_ema(close,60)subts_corr(ts_corr(log(ts_corr(open,(highaddhigh),60)),log(ts_delta(log(volume),30)),10),close,30)),5),60),30)),5),10),60)subabs(high)),60)subts_corr(open,(highadd(ts_ema((ts_sum(ts_ema(open,10),60)subabs(high)),60)subts_corr(open,close,30))),30)),5),10),60)subabs(high)),60)subts_corr(open,ts_ema(ts_mean((ts_ema(close,60)subts_corr(ts_corr(log(sign((ts_min(ts_corr(high,low,30),10)add(ts_corr(low,close,30)addts_delta(high,30))))),log(ts_delta(log(volume),30)),10),close,30)),5),60),30)),5),10),60)subabs(high)),60)subts_corr(open,(highadd(ts_ema((ts_sum(ts_ema(open,10),60)subabs(high)),60)subts_corr(open,close,30))),30)),5),60)",0.008955675855392923,0.026526545949760935,0.308298579657341,0.2815199819216232,0.21175882982341054
29,"ts_min(ts_ema(ts_min(log((neg(abs(abs(high)))addclose)),60),60),5)",0.0034834115242780663,0.01558607607425338,0.21374912940907964,0.33035945577567283,0.19329842795444308
30,"ts_max(neg(ts_sum(ts_min(ts_mean(ts_sum(ts_min(ts_mean(ts_max(neg(neg((ts_sum(low,60)sub(closeaddts_min(log(low),5))))),20),30),20),5),30),20),5)),20)",0.008165165774393912,0.02797922935333742,0.18124970433509757,0.2054390449689547,0.14076272152557798
